name,expr,n_vars,n_pdn,n_pun,n_common_neg,total,pdn_ok,pun_ok,complete
P1912,!b*!c*!d+!a*!c*!d+a*b*d+a*b*c+c*d,4,14,9,4,31,True,True,True
P1913,a*!b*!c*!d+!a*b*!c*!d+a*b*d+a*b*c+c*d,4,,,,,False,False,False
P1914,!a*!c*!d+a*b*d+a*b*c+c*d,4,17,10,3,33,True,True,True
P1915,!a*b*!c*!d+a*b*d+a*b*c+c*d,4,15,9,3,30,True,True,True
P1918,!a*!b*!c*!d+a*b*d+a*b*c+c*d,4,19,10,4,37,True,True,True
P1919,a*b*d+a*b*c+c*d,4,8,11,0,19,True,True,True
P1920,a*b*!c+!b*!d+!a*!d+c*d,4,10,11,4,29,True,True,True
P1921,a*!c*!d+!a*b*!d+a*b*d+c*d+!b*c,4,12,13,4,33,True,True,True
P1922,a*b*!c+!a*!d+c*d+!b*c,4,11,11,4,30,True,True,True
P1923,b*!c*!d+a*b*d+!b*c+!a*c,4,11,10,4,29,True,True,True
P1926,!a*!b*!d+a*b*!c+c*d+!b*c+!a*c,4,12,17,4,37,True,True,True
P1927,a*b*!c+c*d+!b*c+!a*c,4,10,11,4,29,True,True,True
P1928,a*b*d+!b*!d+!a*!d+c*d,4,7,8,3,21,True,True,True
P1929,a*!b*!d+!a*b*!d+a*b*d+c*d+!b*c,4,9,11,3,26,True,True,True
P1930,a*b*d+!a*!d+c*d+!b*c,4,10,10,4,28,True,True,True
P1931,!a*b*!d+a*b*d+c*d+!b*c,4,10,10,3,26,True,True,True
P1934,!a*!b*!d+a*b*d+!b*c+!a*c,4,9,10,3,25,True,True,True
P1935,a*b*d+!b*c+!a*c,4,8,7,2,19,True,True,True
P1936,a*!b*!d+!a*b*!d+a*b*d+!c*!d+c*d,4,9,10,4,27,True,True,True
P1937,a*!c*!d+a*!b*!d+!a*b*!d+a*b*d+c*d,4,12,11,4,31,True,True,True
P1938,!a*!c*!d+!a*b*!d+a*b*!c+a*!b*c+c*d,4,12,11,4,31,True,True,True
P1939,b*!c*!d+!a*b*!d+a*b*d+a*!b*c+c*d,4,13,10,4,31,True,True,True
P1942,!a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d,4,16,14,4,38,True,True,True
P1943,a*b*!c+a*!b*c+!a*b*c+c*d,4,8,17,3,31,True,True,True
P1944,!b*!c*!d+!a*b*!d+a*b*d+a*!b*c+c*d,4,10,10,4,28,True,True,True
